Arc_Distance_m,Angle_deg,X_m,Y_m,Depth_m,Depth_cm,Slope_deg,Inner_X_m,Inner_Y_m,Outer_X_m,Outer_Y_m
9.595,61.08,4.3521,7.8777,-2.1185,-211.85,14.53,3.5059,6.3460,5.1984,9.4095
9.680,61.62,4.2776,7.9185,-2.1404,-214.04,14.39,3.4459,6.3788,5.1094,9.4582
9.764,62.16,4.2027,7.9585,-2.1621,-216.21,14.25,3.3855,6.4110,5.0199,9.5059
9.849,62.70,4.1275,7.9977,-2.1835,-218.35,14.10,3.3249,6.4426,4.9300,9.5529
9.934,63.24,4.0518,8.0363,-2.2047,-220.47,13.94,3.2640,6.4737,4.8397,9.5990
10.019,63.78,3.9758,8.0742,-2.2257,-222.57,13.78,3.2028,6.5042,4.7489,9.6442
10.104,64.32,3.8995,8.1113,-2.2464,-224.64,13.62,3.1413,6.5341,4.6577,9.6886
10.189,64.86,3.8228,8.1478,-2.2668,-226.68,13.45,3.0795,6.5635,4.5661,9.7321
10.274,65.41,3.7458,8.1835,-2.2870,-228.70,13.28,3.0174,6.5922,4.4741,9.7747
10.359,65.95,3.6684,8.2185,-2.3069,-230.69,13.10,2.9551,6.6204,4.3817,9.8165
10.444,66.49,3.5907,8.2527,-2.3265,-232.65,12.92,2.8925,6.6480,4.2889,9.8574
10.529,67.03,3.5127,8.2862,-2.3458,-234.58,12.73,2.8297,6.6750,4.1957,9.8974
10.613,67.57,3.4343,8.3190,-2.3649,-236.49,12.54,2.7666,6.7014,4.1021,9.9365
10.698,68.11,3.3557,8.3510,-2.3836,-238.36,12.34,2.7032,6.7272,4.0082,9.9748
10.783,68.65,3.2768,8.3823,-2.4020,-240.20,12.14,2.6396,6.7524,3.9139,10.0122
10.868,69.19,3.1976,8.4128,-2.4201,-242.01,11.93,2.5758,6.7770,3.8193,10.0487
10.953,69.73,3.1180,8.4426,-2.4379,-243.79,11.72,2.5118,6.8010,3.7243,10.0842
11.038,70.27,3.0383,8.4717,-2.4553,-245.53,11.50,2.4475,6.8244,3.6290,10.1189
11.123,70.81,2.9582,8.4999,-2.4724,-247.24,11.27,2.3830,6.8472,3.5334,10.1527
11.208,71.35,2.8779,8.5275,-2.4892,-248.92,11.05,2.3183,6.8694,3.4375,10.1856
11.293,71.89,2.7973,8.5542,-2.5056,-250.56,10.81,2.2534,6.8909,3.3412,10.2176
11.378,72.43,2.7165,8.5803,-2.5216,-252.16,10.57,2.1883,6.9119,3.2447,10.2486
11.463,72.97,2.6354,8.6055,-2.5373,-253.73,10.33,2.1230,6.9322,3.1478,10.2788
11.547,73.51,2.5541,8.6300,-2.5526,-255.26,10.08,2.0575,6.9519,3.0507,10.3080
11.632,74.05,2.4726,8.6537,-2.5675,-256.75,9.83,1.9918,6.9710,2.9534,10.3364
11.717,74.59,2.3908,8.6766,-2.5820,-258.20,9.57,1.9259,6.9895,2.8557,10.3638
11.802,75.14,2.3089,8.6988,-2.5961,-259.61,9.31,1.8599,7.0074,2.7578,10.3902
11.887,75.68,2.2267,8.7202,-2.6098,-260.98,9.04,1.7937,7.0246,2.6597,10.4158
11.972,76.22,2.1443,8.7408,-2.6231,-262.31,8.76,1.7274,7.0412,2.5613,10.4404
12.057,76.76,2.0618,8.7607,-2.6360,-263.60,8.48,1.6609,7.0572,2.4627,10.4641
12.142,77.30,1.9790,8.7797,-2.6484,-264.84,8.20,1.5942,7.0726,2.3638,10.4869
12.227,77.84,1.8961,8.7980,-2.6604,-266.04,7.91,1.5274,7.0873,2.2648,10.5087
12.312,78.38,1.8130,8.8155,-2.6720,-267.20,7.61,1.4605,7.1014,2.1656,10.5296
12.397,78.92,1.7298,8.8322,-2.6831,-268.31,7.31,1.3934,7.1148,2.0661,10.5496
12.481,79.46,1.6464,8.8481,-2.6938,-269.38,7.01,1.3263,7.1277,1.9665,10.5686
12.566,80.00,1.5628,8.8633,-2.7040,-270.40,6.69,1.2589,7.1399,1.8667,10.5867
12.651,80.54,1.4791,8.8776,-2.7137,-271.37,6.38,1.1915,7.1514,1.7668,10.6038
12.736,81.08,1.3953,8.8912,-2.7230,-272.30,6.06,1.1240,7.1623,1.6666,10.6200
12.821,81.62,1.3114,8.9039,-2.7317,-273.17,5.73,1.0564,7.1726,1.5664,10.6353
12.906,82.16,1.2273,8.9159,-2.7400,-274.00,5.40,0.9887,7.1823,1.4660,10.6496
12.991,82.70,1.1432,8.9271,-2.7478,-274.78,5.06,0.9209,7.1913,1.3654,10.6629
13.076,83.24,1.0589,8.9375,-2.7550,-275.50,4.72,0.8530,7.1996,1.2648,10.6753
13.161,83.78,0.9745,8.9471,-2.7618,-276.18,4.37,0.7850,7.2074,1.1640,10.6868
13.246,84.32,0.8901,8.9559,-2.7680,-276.80,4.02,0.7170,7.2145,1.0631,10.6973
13.331,84.86,0.8055,8.9639,-2.7737,-277.37,3.66,0.6489,7.2209,0.9622,10.7069
13.415,85.41,0.7209,8.9711,-2.7789,-277.89,3.29,0.5808,7.2267,0.8611,10.7155
13.500,85.95,0.6363,8.9775,-2.7835,-278.35,2.93,0.5126,7.2319,0.7600,10.7231
13.585,86.49,0.5516,8.9831,-2.7875,-278.75,2.55,0.4443,7.2364,0.6588,10.7298
13.670,87.03,0.4668,8.9879,-2.7910,-279.10,2.17,0.3760,7.2402,0.5575,10.7355
13.755,87.57,0.3820,8.9919,-2.7940,-279.40,1.79,0.3077,7.2435,0.4562,10.7403
13.840,88.11,0.2971,8.9951,-2.7963,-279.63,1.40,0.2393,7.2460,0.3549,10.7441
13.925,88.65,0.2123,8.9975,-2.7981,-279.81,1.01,0.1710,7.2480,0.2535,10.7470
14.010,89.19,0.1274,8.9991,-2.7993,-279.93,0.61,0.1026,7.2493,0.1521,10.7489
14.095,89.73,0.0425,8.9999,-2.7999,-279.99,0.20,0.0342,7.2499,0.0507,10.7499
